age_cov,cov_all,fast_fraction,fulldate,grid_cell,min_season_cov
0.65,0.7777777777777779,0.6,2014-05-06,89,0.5
0.65,0.4666666666666671,0.6,2014-09-08,89,0.5
0.65,0.7777777777777779,0.6,2017-05-06,89,0.5
0.65,0.4666666666666671,0.6,2017-09-08,89,0.5
0.65,0.25,0.6,2009-06-02,90,0.5
0.65,0.32,0.6,2010-06-02,90,0.5
0.65,0.375,0.6,2011-06-02,90,0.5
0.65,0.3,0.6,2012-06-02,90,0.5
0.65,0.5,0.6,2014-12-09,90,0.5
0.65,0.5,0.6,2017-12-09,90,0.5
0.65,0.25,0.6,2009-06-02,91,0.5
0.65,0.32,0.6,2010-06-02,91,0.5
0.65,0.375,0.6,2011-06-02,91,0.5
0.65,0.3,0.6,2012-06-02,91,0.5
0.65,1.0,0.6,2015-03-04,91,0.5
0.65,0.25,0.6,2009-06-02,92,0.5
0.65,0.32,0.6,2010-06-02,92,0.5
0.65,0.375,0.6,2011-06-02,92,0.5
0.65,0.3,0.6,2012-06-02,92,0.5
0.65,0.25,0.6,2009-06-02,93,0.5
0.65,0.32,0.6,2010-06-02,93,0.5
0.65,0.25,0.6,2009-06-02,94,0.5
0.65,0.32,0.6,2010-06-02,94,0.5
0.65,0.25,0.6,2009-06-02,95,0.5
0.65,0.32,0.6,2010-06-02,95,0.5
0.65,0.375,0.6,2011-06-02,95,0.5
0.65,0.3,0.6,2012-06-02,95,0.5
0.65,1.0,0.6,2014-06-06,95,0.5
0.65,1.0,0.6,2017-06-06,95,0.5
0.65,0.25,0.6,2009-06-02,96,0.5
0.65,0.32,0.6,2010-06-02,96,0.5
0.65,0.375,0.6,2011-06-02,96,0.5
0.65,0.3,0.6,2012-06-02,96,0.5
0.65,0.916666666666667,0.6,2014-06-06,96,0.5
0.65,0.42857142857142894,0.6,2014-08-08,96,0.5
0.65,0.916666666666667,0.6,2017-06-06,96,0.5
0.65,0.42857142857142894,0.6,2017-08-08,96,0.5
0.65,0.25,0.6,2009-06-02,97,0.5
0.65,0.32,0.6,2010-06-02,97,0.5
0.65,0.375,0.6,2011-06-02,97,0.5
0.65,0.3,0.6,2012-06-02,97,0.5
0.65,0.666666666666667,0.6,2013-03-07,97,0.5
0.65,1.0,0.6,2014-06-06,97,0.5
0.65,1.0,0.6,2014-12-08,97,0.5
0.65,1.0,0.6,2017-06-06,97,0.5
0.65,1.0,0.6,2017-12-08,97,0.5
0.65,0.25,0.6,2009-06-02,98,0.5
0.65,0.32,0.6,2010-06-02,98,0.5
0.65,0.375,0.6,2011-06-02,98,0.5
0.65,0.3,0.6,2012-06-02,98,0.5
0.65,0.25,0.6,2009-06-02,99,0.5
0.65,0.32,0.6,2010-06-02,99,0.5
0.65,0.375,0.6,2011-06-02,99,0.5
0.65,0.3,0.6,2012-06-02,99,0.5
0.65,0.833333333333333,0.6,2014-12-09,99,0.5
0.65,0.833333333333333,0.6,2017-12-09,99,0.5
0.65,0.25,0.6,2009-06-02,100,0.5
0.65,0.32,0.6,2010-06-02,100,0.5
0.65,0.375,0.6,2011-06-02,100,0.5
0.65,0.3,0.6,2012-06-02,100,0.5
0.65,0.25,0.6,2009-06-02,101,0.5
0.65,0.32,0.6,2010-06-02,101,0.5
0.65,0.857142857142857,0.6,2012-07-18,101,0.5
0.65,1.0,0.6,2012-07-24,101,0.5
0.65,1.0,0.6,2012-08-15,101,0.5
0.65,0.666666666666667,0.6,2012-09-24,101,0.5
0.65,0.818181818181818,0.6,2012-11-10,101,0.5
0.65,0.25,0.6,2009-06-02,102,0.5
0.65,0.32,0.6,2010-06-02,102,0.5
0.65,0.5714285714285711,0.6,2012-06-24,102,0.5
0.65,0.6,0.6,2012-07-18,102,0.5
0.65,0.833333333333333,0.6,2012-07-26,102,0.5
